Mean_0,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,Mean_9,Mean_10,Mean_11,Mean_12,Std_0,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Min_0,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Max_0,Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,label
-120.39391,30.2502,5.5614843,21.134062,-4.199063,16.027277,-9.624965,-0.63423836,-0.4238472,-1.5800296,1.3558034,-4.117387,-0.395193,53.866344,36.168915,19.275368,26.884596,17.600927,13.437422,15.746834,12.068767,9.123186,9.026199,10.585725,10.10807,8.577338,-18.398447,123.19728,64.48356,80.30972,41.599586,57.387764,14.961988,30.08828,17.766441,18.155792,28.99659,22.621536,26.635628,-258.7775,-83.621185,-49.68158,-68.773155,-50.53867,-21.090796,-48.79786,-32.642796,-28.6955,-30.9832,-30.924585,-25.057455,-22.69423,raiva
-121.64761,58.43449,13.796205,15.066666,-5.2334642,19.227259,-3.4463694,2.7312348,-2.744499,-5.5315113,-5.1955385,-2.2499342,-7.9732733,39.238663,36.833927,21.31944,19.895212,21.168262,14.333758,11.134423,9.975885,8.71133,10.712551,7.324832,9.519665,10.608261,-51.438046,136.36246,61.34574,75.446465,58.99064,57.40281,20.391445,22.301323,15.012436,19.562828,15.680374,16.914642,15.857952,-258.41055,-53.654274,-30.07608,-22.572292,-52.23387,-6.5941997,-39.25128,-29.162357,-31.720974,-38.247475,-32.8846,-27.14524,-41.78627,raiva
-270.28796,98.219955,-4.9598064,22.18571,-14.9016,29.138012,-11.297945,5.0912166,1.444533,-7.959241,-0.53442264,-5.67436,-1.9821049,77.141945,43.027554,28.669847,21.337997,19.653183,15.287451,15.195201,12.183822,10.757308,10.860314,12.241362,9.4951105,12.96481,-119.589066,190.43324,78.87475,83.003716,48.861027,68.5544,18.153877,23.793762,26.939962,14.39138,24.561974,12.268854,22.844387,-594.86835,-58.569603,-75.183815,-36.698112,-55.51449,-7.2560143,-55.534325,-35.633297,-27.640062,-38.711315,-42.70749,-31.974157,-52.68068,raiva
-135.36586,50.427658,6.7581177,2.1344125,-3.8965394,2.411786,-4.2799864,-5.454532,-12.812734,-0.39273015,-2.091235,-1.7386042,1.7047178,44.948112,38.07192,14.112735,12.159114,12.346625,14.055486,12.185669,14.124574,12.897054,7.6629333,10.30499,8.495402,7.649221,-36.631165,129.96895,36.453384,38.7411,36.50195,35.182503,25.918507,20.453053,12.6989,16.367805,19.065176,20.129597,25.000456,-268.82803,-46.082928,-23.492674,-26.417213,-39.790516,-51.45599,-40.13192,-42.451893,-43.39376,-18.685852,-35.25454,-22.283154,-14.217197,felicidade
-297.812,115.53459,-12.671356,32.32194,-1.3000839,31.163128,-11.054958,7.515409,1.5472943,-4.051042,-3.3725214,-4.2522087,-0.48853317,62.904343,45.472343,25.969275,21.17648,18.435696,13.212644,12.786907,11.010746,12.245467,11.277308,13.652677,10.124485,9.628683,-148.15462,199.13794,32.63953,98.653046,57.65454,73.32385,20.035543,32.861015,40.01004,19.716545,26.477596,19.471405,23.15649,-654.8854,-44.05224,-99.27168,-26.041546,-62.462425,0.0,-48.01554,-24.424984,-29.444477,-33.366722,-41.75199,-28.792614,-24.515873,tristeza
-171.8687,101.38118,16.239685,20.962845,7.45484,21.603853,0.41162428,6.251538,1.333302,-0.22433561,-5.2479434,-3.1442075,-2.953831,42.40804,39.619205,28.758078,19.124533,18.581818,15.99444,11.097373,12.960006,10.867504,10.56771,9.564321,9.769679,8.841086,-76.26706,185.23824,71.99869,84.565575,56.352745,63.914536,28.862217,36.328606,31.058418,23.077515,18.769573,22.701775,19.080788,-291.2954,-22.21931,-105.11871,-37.725,-37.75612,-10.891894,-32.38384,-32.383366,-30.564837,-37.607468,-32.14781,-31.569897,-26.814743,neutro
-262.20535,68.35671,-11.488959,30.158794,-14.20197,29.044436,-13.4523735,5.292688,-1.6474425,0.8371994,0.34828874,-2.2307744,-2.11222,96.46966,45.760815,22.216234,28.408817,16.561472,14.096981,16.667728,12.977951,9.802989,9.835039,13.656095,9.514777,11.126312,-88.137955,213.47803,81.08765,97.37807,38.755768,75.088646,16.514244,34.84501,21.051945,27.796917,31.919317,22.555086,24.434814,-637.7208,-85.087425,-69.685394,-61.781715,-57.2004,-11.958372,-58.405533,-30.083271,-38.739555,-28.64626,-35.60142,-32.788956,-27.164314,raiva
-299.40457,132.77397,-6.4902916,32.601013,-5.3503804,30.300333,-7.869861,8.737933,-0.4632075,-2.6950932,-0.5463692,-5.4556613,2.7946942,56.059906,44.18599,28.215078,19.785675,18.427849,15.57203,12.979651,12.961606,11.370249,9.761794,12.129999,10.013264,9.727413,-173.05411,222.9791,47.09291,95.86559,43.995796,72.8943,22.08131,35.2952,29.395565,21.147926,31.050747,19.908905,24.471724,-654.1632,-19.681046,-115.623665,-30.27425,-51.099247,-6.388162,-45.084915,-35.750366,-33.485435,-36.940544,-30.006163,-30.321762,-29.969353,neutro
-288.85776,107.592804,-17.641403,22.437815,-14.178369,14.814788,-8.817983,6.887046,-15.312453,-3.7389343,3.9829457,-8.248881,4.0941615,70.322235,46.0983,17.175098,13.98841,11.273129,16.099846,12.761501,12.483408,17.058212,9.792586,11.585209,12.683067,7.145074,-132.91454,194.1726,27.821598,61.135666,20.314037,53.949154,19.457623,36.340958,11.8027,19.359867,23.402773,16.933565,20.520357,-617.51886,-25.232662,-54.02668,-15.990475,-43.35823,-42.67642,-51.30243,-35.68855,-61.834694,-31.81506,-30.266457,-39.94999,-21.938438,felicidade
-152.29688,55.250423,12.799426,18.19789,14.403983,15.817471,-1.7823592,0.91747934,0.46069247,-4.4446115,-7.349621,-2.801273,-1.4051213,39.42158,37.70091,26.528091,18.670954,20.03859,12.887835,10.845765,10.201279,10.696029,10.972631,12.276082,9.657926,8.707822,-68.42608,137.4053,54.526623,75.03694,71.399025,56.169724,34.47946,22.175781,22.981264,19.143091,17.148247,20.618742,18.774807,-246.95937,-57.127083,-94.77511,-31.787933,-37.474266,-14.776251,-32.74632,-34.78154,-29.13297,-38.829754,-36.915337,-27.666245,-22.125404,tristeza
